dap_sample_id,Planctomycetota,Aenigmatarchaeota,Firmicutes_F,Acidobacteriota,Patescibacteria,Atribacterota,Firmicutes_G,Cyanobacteria,Proteobacteria,Thermoproteota,Methanobacteriota_A,Cloacimonadota,KSB1,Myxococcota_A,Omnitrophota,Nitrospirota,Chlamydiota,Actinobacteriota,Myxococcota,Gemmatimonadota,Bdellovibrionota,Firmicutes_A,Altiarchaeota,Firmicutes_D,Firmicutes_E,Desulfobacterota,Iainarchaeota,Firmicutes,Verrucomicrobiota,Elusimicrobiota,Caldisericota,Nitrospinota,Marinisomatota,Spirochaetota,Aquificota,Desulfobacterota_I,Dependentiae,Chloroflexota,Campylobacterota,Riflebacteria,Latescibacterota,Deinococcota,Margulisbacteria,Fibrobacterota,Firmicutes_C,Armatimonadota,Nanoarchaeota,Methanobacteriota,Bacteroidota,Desulfobacterota_D,Dormibacterota,Asgardarchaeota,Fusobacteriota,Thermotogota,Thermoplasmatota,Firmicutes_B,Deferribacterota,Halobacteriota,SAR324,Synergistota,Bdellovibrionota_C,EX4484.52,Bipolaricaulota,Desulfobacterota_B,WOR.3,JAGOBX01,Delongbacteria,Aerophobota,Poribacteria,Desantisbacteria,UBP6,Micrarchaeota,Firmicutes_H,Muirbacteria,Calditrichota,Bdellovibrionota_E,Methylomirabilota,Methanobacteriota_B,Goldbacteria,Eremiobacterota,SZUA.79,UBA10199,CG03,Zixibacteria,Tectomicrobia,UBA9089,SZUA.182,Hydrogenedentota,Chrysiogenota,Eisenbacteria,AABM5.125.24,Desulfobacterota_E,CSSED10.310,CLD3,Desulfobacterota_C,JAHJDO01,Huberarchaeota,CSP1.3,Wallbacteria,Firestonebacteria,Sumerlaeota,DTU030,QNDG01,JACRDZ01,Dictyoglomota,Hydrothermarchaeota,SM23.31,Ratteibacteria,Krumholzibacteriota,UBP15,UBP17,Desulfobacterota_G,Aureabacteria,JAAXHH01,Thermodesulfobiota,UBA8248,UBA2233,RBG.13.61.14,UBP7,OLB16,RBG.13.66.14,Edwardsbacteria,TA06,BMS3Abin14,Abyssubacteria,JAFGND01,HKB111,FCPU426,CAIJMQ01,FEN.1099,T1Sed10.126,Schekmanbacteria,UBA3054,UBP14,Nanohaloarchaeota,Mcinerneyibacteriota,UBP18,RUG730,Calescibacterota,Fermentibacterota,JAFGBW01,DUMJ01,JdFR.76,Lindowbacteria,Coprothermobacterota,T1SED10.198M,Undinarchaeota,SpSt.1190,UBA8481,X4572.55,Thermosulfidibacterota,UBA6262,JADJOY01,CG2.30.70.394,BS750m.G25,UBA1439,Hadarchaeota,Nitrospinota_B,JAFGOL01,JAGOEH01,UBA6266,JACPWU01,B1Sed10.29,JACIXR01,JACPQY01,Nitrospirota_A,UBP4,NPL.UPA2,CG2.30.53.67,VGIX01,PUNC01,Gemmatimonadota_A,UBP13,SLNR01
26769480,8.823250255021881e-5,0,6.220045871686443e-6,5.390706422128251e-5,1.8107244648687203e-4,2.7644648318606413e-6,5.528929663721283e-6,2.3797434760933689e-4,0.020763204235897312,1.1748975535407726e-5,0,2.9948369011823616e-6,5.068185525077843e-6,4.146697247790962e-6,7.832650356938485e-6,1.589567278319869e-5,7.832650356938485e-6,0.0074407874670222385,5.413743629060423e-5,1.1979347604729446e-5,1.635641692184213e-5,0.062147933885059084,0,7.141534148973324e-6,0,5.482855249856939e-5,0,0.03761330850229589,8.546803771835817e-5,1.0136371050155686e-5,0,4.607441386434403e-6,6.911162079651604e-6,2.0065407237921824e-4,8.523766564903645e-6,1.4951147298979635e-4,6.220045871686443e-6,6.289157492482959e-5,1.7692574923908105e-4,0,3.685953109147522e-6,7.832650356938485e-6,0,1.1979347604729446e-5,0.041173939205732396,5.068185525077843e-6,1.1288231396764286e-5,5.759301733043003e-5,0.8289169471830564,0,2.9948369011823616e-6,8.984510703547085e-6,2.2829872069782465e-4,2.5340927625389216e-6,1.704753312980729e-5,3.2252089705040815e-5,0,1.912088175370277e-5,0,1.2900835882016327e-5,0,0,0,2.7644648318606413e-6,3.9163251784692424e-6,0,0,0,0,0,0,0,0,0,5.298557594399563e-6,0,4.607441386434403e-6,0,0,5.068185525077843e-6,0,0,0,2.7644648318606413e-6,0,0,0,0,5.759301733043003e-6,2.3037206932172013e-6,2.3037206932172013e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21756783,8.041055331076095e-5,2.632488352435626e-6,3.3025762966919674e-5,6.557289168794196e-5,2.993857208088153e-4,8.376099303204264e-6,1.0051319163845119e-5,7.73233624247228e-4,0.023002922540705448,5.1453181433969055e-5,4.0683910901277855e-6,1.1726539024485971e-5,6.461562319614718e-6,5.264976704871252e-6,3.0153957491535352e-5,3.422234858166314e-5,3.56582513193553e-5,0.007363548556008344,6.0307914983070705e-5,1.3641076008075517e-5,4.7145473220892576e-5,0.15834967869283073,1.100858765563989e-5,1.818810134410069e-5,6.222245196666025e-6,1.175047073678084e-4,4.0683910901277855e-6,0.029443185636377735,1.1487221901537278e-4,2.3453078048971942e-5,5.743610950768639e-6,9.094050672050345e-6,3.853005679473962e-5,2.531975160797175e-4,1.6512881483459837e-5,3.20684944751249e-5,9.333367794999038e-6,1.4023983404793427e-4,0.033670004661897554,8.136782180255571e-6,6.222245196666025e-6,7.179513688460799e-6,1.8906052712946768e-5,2.201717531127978e-5,0.01940957593963082,1.747014997525461e-5,9.117982384345215e-5,1.1367563340062931e-4,0.60880385472876275,3.350439721281706e-6,8.854733549101651e-6,6.102586635191679e-5,0.11532428906062285,2.6564200647304956e-5,4.0444593778329166e-5,0.0016584676620344445,1.842741846704938e-5,5.097454718807167e-5,6.700879442563412e-6,1.962400408179285e-5,0,2.632488352435626e-6,1.6273564360511142e-5,0,6.700879442563412e-6,0,4.307708213076479e-6,0,3.829073967179093e-6,0,6.222245196666025e-6,0,0,3.350439721281706e-6,2.393171229486933e-6,0,3.5897568442303994e-6,3.350439721281706e-6,0,4.307708213076479e-6,0,3.5897568442303994e-6,0,1.0529953409742504e-5,0,0,0,4.0683910901277855e-6,0,3.1111225983330125e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.632488352435626e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21264289,3.1401784505917246e-5,0,2.56521619907493e-5,1.9460260820568434e-5,1.3467385045143383e-4,2.653671930077514e-6,1.3268359650387568e-5,4.420575156854125e-4,0.013240938373776767,3.0296087868384948e-5,0,3.98050789511627e-6,0,3.759368567609811e-6,8.62443377275192e-6,1.1499245030335893e-5,4.8650652051421085e-6,0.0016067983536619346,8.845573100258379e-6,6.634179825193784e-6,1.592203158046508e-5,0.02644118711129235,0,3.5382292401033516e-6,0,4.245875088124022e-5,0,0.03425713550268065,4.9092930706434003e-5,1.4374056287919866e-5,3.095950585090433e-6,0,1.3931777632906946e-5,1.9349691156815205e-4,1.0172409065297135e-5,1.1056966375322974e-5,5.307343860155028e-6,3.294975979846246e-5,0.0027182446137094,0,3.759368567609811e-6,3.5382292401033516e-6,4.422786550129189e-6,7.297597807713163e-6,0.02184148909915799,3.759368567609811e-6,3.980507895116271e-5,5.417913523908257e-5,0.8612689063068052,0,0,1.791228552802322e-5,0.03723477654755513,9.730130410284217e-6,2.2556211405658867e-5,2.7642415938307435e-5,3.317089912596892e-6,1.5037474270439245e-5,4.422786550129189e-6,9.508991082777757e-6,0,0,2.653671930077514e-6,2.653671930077514e-6,3.317089912596892e-6,0,0,0,0,0,2.8748112575839734e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.066712427764839e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21669021,4.141549044018977e-5,4.55115279562525e-6,2.6624243854407713e-5,3.27683001285018e-5,2.00250723007511e-4,1.0695209069719338e-5,7.736959752562924e-6,4.2940126626724235e-4,0.036859558934129115,5.09729113110028e-5,2.9582493171564122e-6,1.0467651429938075e-5,6.826729193437875e-6,3.4133645967189375e-6,1.0467651429938075e-5,1.7749495902938473e-5,1.63841500642509e-5,0.006625568239871238,2.4348667456595088e-5,1.1377881989063125e-5,4.687687379494007e-5,0.1055041414352652,0,1.0695209069719338e-5,2.9582493171564122e-6,8.874747951469237e-5,0,0.01033521288358538,9.307107467053636e-5,1.7521938263157212e-5,8.874747951469237e-6,5.6889409945315624e-6,2.5941570935063923e-5,1.8159099654544748e-4,2.5258898015720136e-5,1.2515670187969438e-5,1.3425900747094487e-5,9.307107467053636e-5,0.025238872943419387,2.7306916773751498e-6,0,3.185806956937675e-6,1.1150324349281862e-5,8.237586560081703e-5,0.022616043587300554,8.874747951469237e-6,4.3235951558439874e-5,5.074535367122154e-5,0.7091180753356874,3.185806956937675e-6,0,3.936747168215841e-5,0.08167976678072614,2.3438436897470037e-5,2.7989589693095287e-5,7.122554125153516e-5,5.2338257149690375e-6,3.9139914042377146e-5,3.185806956937675e-6,1.7749495902938473e-5,0,0,6.599171553656612e-6,2.7306916773751498e-6,5.6889409945315624e-6,0,4.323595155843988e-6,0,0,0,4.55115279562525e-6,0,0,0,0,0,0,2.275576397812625e-6,0,5.006268075187775e-6,0,0,7.736959752562924e-6,0,0,0,0,0,0,0,2.275576397812625e-6,0,0,0,0,0,0,0,0,0,3.6409222365002e-6,0,0,0,0,2.9582493171564122e-6,0,0,0,0,0,0,3.868479876281462e-6,3.6409222365002e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21649071,8.457775402082642e-5,4.591363789702006e-6,2.102361314231971e-5,6.452074378160187e-5,2.0757797343968543e-4,5.799617418570955e-6,2.319846967428382e-5,4.144309947020495e-4,0.09163613006995305,3.938906830112774e-5,4.108062338154426e-6,6.041268144344745e-6,5.799617418570955e-6,4.591363789702006e-6,2.0540311690772134e-5,2.295681894851003e-5,1.4015742094879808e-5,0.010705610453230435,3.358945088255678e-5,1.8848756610355602e-5,3.818081467225879e-5,0.07864087899001596,2.416507257737898e-6,2.295681894851003e-5,4.591363789702006e-6,1.2879983683742997e-4,0,0.03922329590324691,1.4619868909314282e-4,2.6581579835116877e-5,2.6581579835116875e-6,6.524569595892324e-6,2.7548182738212035e-5,2.1748565319641081e-4,1.7157201529939074e-5,2.7789833463985827e-5,1.1115933385594331e-5,1.0608466861469372e-4,0.012412389529370713,4.108062338154426e-6,2.6581579835116875e-6,1.232418701446328e-5,4.3497130639282165e-6,2.3681771125831398e-5,0.010150297085402266,1.159923483714191e-5,4.615528862279385e-5,7.950308877957684e-5,0.7350981246937077,3.383110160833057e-6,3.866411612380636e-6,2.9239737818628563e-5,0.019535527973004715,1.9815359513450764e-5,3.117294362481888e-5,2.12652638680935e-4,2.0878622706855436e-4,4.470538426815111e-5,7.249521773213694e-6,1.208253628868949e-5,0,0,2.6581579835116875e-6,6.766220321666114e-6,4.3497130639282165e-6,0,2.8998087092854775e-6,0,4.108062338154426e-6,0,3.141459435059267e-6,0,3.383110160833057e-6,0,3.383110160833057e-6,0,0,4.3497130639282165e-6,0,5.799617418570955e-6,0,0,0,2.6581579835116875e-6,0,0,0,5.5579666927971654e-6,0,0,3.624760886606847e-6,0,0,0,0,0,0,0,0,0,2.416507257737898e-6,3.624760886606847e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21648978,1.9185519931160642e-4,3.57050619066265e-6,1.6448131851652607e-4,5.808023403477911e-5,4.901114831049598e-4,3.8323433113112444e-5,2.3327307112329314e-05,5.743754292045983e-4,0.30125003421735097,1.2520575041923693e-4,3.16584882238755e-5,1.4520058508694778e-5,2.4089015099670682e-4,9.045282349678715e-6,4.641658047861445e-5,5.8318267780823285e-5,4.879691793905622e-5,0.00294185906735998,1.6400525102443773e-4,8.56921485759036e-6,1.2163524422857429e-4,0.05804024436544369,2.8564049525301203e-6,4.4750344256305215e-5,2.380337460441767e-6,2.144684051858032e-4,2.2375172128152608e-5,0.01408302855095767,1.7733514080291163e-4,2.4517475842550197e-5,3.142045447783132e-5,9.521349841767068e-6,1.0497288200548191e-4,3.589548890346184e-4,3.380079193827309e-5,1.4163007889628513e-4,6.165074022544175e-5,1.4758092254738955e-4,6.495940929545582e-4,5.950843651104417e-6,3.4038825684317266e-5,1.2377754794297187e-5,2.6183712064859435e-5,3.594309565267068e-5,0.028592613574826502,9.28331609572289e-6,3.5919292278066263e-4,1.337749652768273e-4,0.005481917171397389,2.0946969651887547e-5,0,1.0544894949757027e-4,0.5839315319732878,5.450972784411646e-5,3.689523063684739e-5,1.0283057829108433e-4,9.99741733385542e-6,9.354726219536144e-5,7.617079873413654e-6,3.975163558937751e-5,4.0465736827510035e-6,0,2.7611914541124495e-5,4.99870866692771e-6,2.213713838210843e-5,0,3.57050619066265e-6,0,0,0,1.6900395969136546e-5,0,0,0,6.426911143192771e-6,5.7128099050602406e-6,0,0,6.902978635281124e-6,9.045282349678715e-6,0,0,0,7.617079873413654e-6,0,1.9042699683534135e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2377754794297187e-5,0,0,0,0,0,0,0,0,0,0,0,0,3.0944386985742968e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13612195,9.908391309218196e-5,7.321471410752361e-6,6.808968411999696e-5,3.9291896571037675e-5,3.1579946685045187e-4,5.613128081576811e-6,3.1726376113260235e-6,7.116470211251296e-4,0.049469962077218585,2.269656137333232e-5,4.148833799426338e-6,1.2202452351253936e-5,7.46790083896741e-5,1.537508996257996e-5,3.075017992515992e-5,2.7821591360858973e-5,2.4648953749532952e-5,9.461781553162302e-4,1.45697281073972e-4,2.29406104203574e-5,5.710747700386842e-5,0.07054823421972761,0,1.3666746633404409e-5,5.613128081576811e-6,1.2812574968816632e-4,2.9285885643009447e-6,0.01230788153956877,1.3739961347511933e-4,3.636330800673673e-5,0,4.636931893476496e-6,4.9297907499065904e-5,3.0652560306349886e-4,1.4886991868529802e-5,1.618045181776272e-4,3.4166866583511023e-6,2.7479922695023865e-4,2.052452485480912e-4,8.297667598852676e-6,0,6.345275222652047e-6,1.14703052101787e-5,3.514306277161133e-5,0.012037475195464983,1.3910795680429487e-5,6.54051446027211e-5,0.0015038302277685352,0.6803777488769474,0,0,5.0518152734191295e-5,0.16918212086919532,3.758355324186212e-5,2.3428708514407558e-5,5.979201652114429e-5,2.440490470250787e-6,6.662538983784649e-5,0,3.0262081831109762e-5,3.90478475240126e-6,5.613128081576811e-6,6.662538983784649e-5,3.6607357053761807e-6,1.2446501398279015e-5,0,0,0,0,0,4.148833799426338e-6,0,4.880980940501574e-6,0,7.5655204577774405e-6,0,5.613128081576811e-6,0,0,3.1726376113260235e-6,5.125029987526653e-6,7.5655204577774405e-6,3.4166866583511023e-6,1.4398893774479645e-5,3.1726376113260235e-6,0,0,0,0,0,0,0,0,5.369079034551732e-6,0,0,0,0,0,0,0,0,0,0,0,2.684539517275866e-6,6.345275222652047e-6,0,0,0,0,0,8.785765692902833e-6,0,2.684539517275866e-6,0,0,0,0,0,0,0,5.369079034551732e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13766971,7.7005817617852e-5,1.4714487442901658e-5,7.479864450141677e-5,5.444360353873613e-5,4.301535162474918e-4,1.2262072869084714e-5,1.250731432646641e-5,6.957500145918667e-4,0.06968021004440342,9.00036148590818e-5,2.280745553649757e-5,2.3788421366024348e-5,8.632499299835639e-5,0,4.831256710419378e-5,3.629573569249076e-5,1.643117764457352e-5,0.0027238968671384786,1.1305631185296107e-4,5.640553519778969e-6,1.339018357304051e-4,0.06495882150689104,3.188138945962026e-6,2.7221801769368066e-5,4.9048291476338856e-6,2.0085275359560764e-4,7.112002264069134e-6,0.007595373176568454,1.248279018072824e-4,2.9428974885803317e-5,4.659587690252192e-6,2.6976560311986374e-5,6.057463997327849e-5,5.407574135266359e-4,3.45790454908189e-5,3.605049423510906e-5,3.0409940715330093e-5,1.2360169452037392e-4,0.002031334991492574,1.0545382667412855e-5,1.839310930362707e-5,7.112002264069134e-6,1.7902626388863683e-5,1.8883592218390462e-5,0.009575697944925635,1.643117764457352e-5,1.4248528673876438e-4,1.29977972412298e-4,0.6364077129419312,2.9428974885803315e-6,3.4333804033437202e-6,1.3684473321898542e-4,0.20281125187425783,6.327229600447713e-5,4.389822087132328e-5,1.4444721839781795e-4,9.564416837886077e-6,6.131036434542358e-5,1.667641910195521e-5,1.5695453272428436e-5,0,0,1.3978763070756575e-5,0,1.6185936187191824e-5,0,1.1035865582176243e-5,6.131036434542357e-6,1.0054899752649467e-5,0,7.112002264069134e-6,3.188138945962026e-6,4.659587690252192e-6,8.828692465740995e-6,0,1.1281107039557938e-5,2.697656031198637e-6,0,0,8.338209550977606e-6,2.4524145738169428e-6,0,0,8.828692465740995e-6,0,4.9048291476338856e-6,0,2.4524145738169428e-6,0,0,0,0,0,1.0054899752649467e-5,0,0,0,0,3.188138945962026e-6,0,3.6786218607254146e-6,0,0,0,0,3.6786218607254146e-6,0,0,0,0,0,0,3.6786218607254146e-6,0,0,0,0,0,0,0,0,0,0,0,3.4333804033437202e-6,2.697656031198637e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21560997,7.069811833702211e-5,5.813989994820897e-6,3.767465516643942e-5,4.302352596167464e-5,1.918616698290896e-4,4.418632396063882e-6,1.4418695187155827e-5,3.832582204585936e-4,0.04678122397512729,4.302352596167464e-5,5.813989994820897e-6,1.0930301190263287e-5,7.441907193370749e-6,3.2558343970997025e-6,2.0930363981355233e-5,2.0930363981355233e-5,1.7441969984462693e-5,0.001211635514920675,3.186066517161852e-5,8.139585992749257e-6,4.767471795753136e-5,0.035727433637374004,4.883751595649554e-6,8.372145592542094e-6,0,1.1372164429869676e-4,2.558155597721195e-6,0.028032501599428647,8.325633672583526e-5,1.9767565982391053e-5,0,4.883751595649554e-6,4.093048956353912e-5,1.9953613662225322e-4,1.8604767983426873e-5,1.5581493186120007e-5,8.837264792127764e-6,7.372139313432899e-5,3.0000188373275835e-4,3.7209535966853744e-6,5.348870795235226e-6,6.744228393992241e-6,8.372145592542094e-6,2.0697804381562394e-5,0.014884512065540877,1.1162860790056124e-5,5.720966154903763e-5,5.069799275483823e-5,0.788667510237855,0,3.0232747973068668e-6,4.581424115918867e-5,0.08234237749864941,3.4883939968925386e-5,2.744203277555464e-5,6.465156874240838e-5,3.953513196478211e-6,4.20932875625033e-5,6.511668794199405e-6,1.3255897188191647e-5,0,0,1.0697741590470452e-5,3.953513196478211e-6,9.534943591506272e-6,0,5.581430395028062e-6,0,4.883751595649554e-6,0,6.0465495946137336e-6,3.2558343970997025e-6,0,3.953513196478211e-6,0,3.4883939968925387e-6,2.325595997928359e-6,4.651191995856718e-6,0,6.976787993785077e-6,2.325595997928359e-6,0,0,4.186072796271047e-6,0,3.2558343970997025e-6,0,5.581430395028062e-6,0,0,0,0,0,0,0,0,0,0,0,0,3.2558343970997025e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13721899,5.5052208229657456e-5,6.939353978528251e-6,2.4519050724133153e-5,2.0494225416586766e-4,2.2344719810860967e-4,6.014106781391151e-6,1.1102966365645201e-5,7.795207635880069e-4,0.024937493769038407,3.469676989264125e-5,3.932300587832676e-6,1.2259525362066576e-5,5.320171383538325e-6,0,1.9661502939163376e-5,1.7348384946320626e-5,1.5497890552046427e-5,0.002031842844913072,2.8913974910534377e-5,1.0871654566360927e-5,3.9785629476895304e-5,0.0460433075829328,0,9.483783770655276e-6,3.0070533906955755e-6,1.2837804860277264e-4,2.3131179928427503e-6,0.009439140593393411,9.599439670297414e-5,2.4056427125564604e-5,0,9.021160172086727e-6,2.7294792315544455e-5,2.3108048748499076e-4,1.5729202351330704e-5,1.873625574202628e-5,1.1334278164929477e-5,9.622570850225842e-5,0.01062137519953534,3.932300587832676e-6,6.4767303799597006e-6,7.401977577096801e-6,9.252471971371001e-6,1.8042320344173454e-5,0.015248999056016546,1.0409030967792376e-5,5.574614362751028e-5,4.418055366329653e-5,0.7957262369340639,2.3131179928427503e-6,3.0070533906955755e-6,4.209874746973806e-5,0.0933192757442515,2.4056427125564604e-5,1.8273632143457727e-5,7.494502296810511e-5,4.626235985685501e-6,4.4411865462580805e-5,6.939353978528251e-6,9.252471971371001e-6,0,2.3131179928427503e-6,2.3131179928427503e-6,3.2383651899798503e-6,1.2259525362066576e-5,0,4.626235985685501e-6,0,4.16361238711695e-6,0,4.3949241864012254e-6,0,0,0,2.3131179928427503e-6,4.3949241864012254e-6,5.088859584254051e-6,0,0,6.245418580675426e-6,0,0,0,6.014106781391151e-6,0,0,0,5.088859584254051e-6,0,0,0,0,0,3.2383651899798503e-6,0,0,2.5444297921270255e-6,0,0,0,3.932300587832676e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3131179928427503e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
